,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL
70,Hands All Over [Deluxe Version] [2010],Maroon 5,Misery [Acoustic Version],3:46,/lyric/26912006/Maroon+5/Misery+%5BAcoustic+Version%5D,http://www.lyrics.com/lyric/26912006/Maroon+5/Misery+%5BAcoustic+Version%5D
71,Moves Like Jagger [2011],Maroon 5,Moves Like Jagger [Remix],3:44,/lyric/24812620/Maroon+5/Moves+Like+Jagger+%5BRemix%5D,http://www.lyrics.com/lyric/24812620/Maroon+5/Moves+Like+Jagger+%5BRemix%5D
72,Moves Like Jagger [2011],Maroon 5,Moves Like Jagger,3:21,/lyric/24041389/Maroon+5/Moves+Like+Jagger,http://www.lyrics.com/lyric/24041389/Maroon+5/Moves+Like+Jagger
73,Overexposed [2012],Maroon 5,Beautiful Goodbye,4:15,/lyric/27571234/Maroon+5/Beautiful+Goodbye,http://www.lyrics.com/lyric/27571234/Maroon+5/Beautiful+Goodbye
74,Overexposed [2012],Maroon 5,Love Somebody,3:50,/lyric/27571240/Maroon+5/Love+Somebody,http://www.lyrics.com/lyric/27571240/Maroon+5/Love+Somebody
75,Overexposed [2012],Maroon 5,Tickets,3:29,/lyric/27571236/Maroon+5/Tickets,http://www.lyrics.com/lyric/27571236/Maroon+5/Tickets
76,Overexposed [2012],Maroon 5,Wasted Years,3:33,/lyric/27571232/Maroon+5/Wasted+Years,http://www.lyrics.com/lyric/27571232/Maroon+5/Wasted+Years
77,Overexposed [2012],Maroon 5,Wipe Your Eyes,3:35,/lyric/27571233/Maroon+5/Wipe+Your+Eyes,http://www.lyrics.com/lyric/27571233/Maroon+5/Wipe+Your+Eyes
78,Overexposed [2012],Maroon 5,Letâ€™s Stay Together,3:24,/lyric/27595093/Maroon+5/Let%E2%80%99s+Stay+Together,http://www.lyrics.com/lyric/27595093/Maroon+5/Let%E2%80%99s+Stay+Together
79,Overexposed [2012],Maroon 5,Doin' Dirt,3:31,/lyric/27319722/Maroon+5/Doin%27+Dirt,http://www.lyrics.com/lyric/27319722/Maroon+5/Doin%27+Dirt
80,Overexposed [2012],Maroon 5,Ladykiller,2:44,/lyric/27319727/Maroon+5/Ladykiller,http://www.lyrics.com/lyric/27319727/Maroon+5/Ladykiller
81,Overexposed [2012],Maroon 5,Lucky Strike,3:05,/lyric/27319730/Maroon+5/Lucky+Strike,http://www.lyrics.com/lyric/27319730/Maroon+5/Lucky+Strike
82,Overexposed [2012],Maroon 5,The Man Who Never Lied,3:25,/lyric/27319729/Maroon+5/The+Man+Who+Never+Lied,http://www.lyrics.com/lyric/27319729/Maroon+5/The+Man+Who+Never+Lied
83,Overexposed [2012],Maroon 5,Sad,3:14,/lyric/27319725/Maroon+5/Sad,http://www.lyrics.com/lyric/27319725/Maroon+5/Sad
84,Overexposed [Deluxe Edition] [2012],Maroon 5,Daylight,3:45,/lyric/27319707/Maroon+5/Daylight,http://www.lyrics.com/lyric/27319707/Maroon+5/Daylight
85,Overexposed [Deluxe Edition] [2012],Maroon 5,Kiss [*],7:01,/lyric/27319696/Maroon+5/Kiss+%5B%2A%5D,http://www.lyrics.com/lyric/27319696/Maroon+5/Kiss+%5B%2A%5D
86,Overexposed [Deluxe Edition] [2012],Maroon 5,One More Night,3:39,/lyric/27319709/Maroon+5/One+More+Night,http://www.lyrics.com/lyric/27319709/Maroon+5/One+More+Night
87,Overexposed [Deluxe Edition] [2012],Maroon 5,Wasted Years [*],3:33,/lyric/27319697/Maroon+5/Wasted+Years+%5B%2A%5D,http://www.lyrics.com/lyric/27319697/Maroon+5/Wasted+Years+%5B%2A%5D
88,Overexposed [Deluxe Edition] [Clean] [2012],Maroon 5,Fortune Teller,3:24,/lyric/27319676/Maroon+5/Fortune+Teller,http://www.lyrics.com/lyric/27319676/Maroon+5/Fortune+Teller
89,Payphone [2012],Maroon 5,Payphone,3:51,/lyric/26574980/Maroon+5/Payphone,http://www.lyrics.com/lyric/26574980/Maroon+5/Payphone
90,Maps [2014],Maroon 5,Maps,3:10,/lyric/30932731/Maroon+5/Maps,http://www.lyrics.com/lyric/30932731/Maroon+5/Maps
91,V [2014],Maroon 5,This Summer's Gonna Hurt Like a Motherf****r,3:44,/lyric/31911693/Maroon+5/This+Summer%27s+Gonna+Hurt+Like+a+Motherf%2A%2A%2A%2Ar,http://www.lyrics.com/lyric/31911693/Maroon+5/This+Summer%27s+Gonna+Hurt+Like+a+Motherf%2A%2A%2A%2Ar
92,V [2014],Maroon 5,Sex and Candy,4:25,/lyric/31911948/Maroon+5/Sex+and+Candy,http://www.lyrics.com/lyric/31911948/Maroon+5/Sex+and+Candy
93,V [Deluxe Version] [2014],Maroon 5,Animals,3:51,/lyric/31053534/Maroon+5/Animals,http://www.lyrics.com/lyric/31053534/Maroon+5/Animals
94,V [Deluxe Version] [2014],Maroon 5,Coming Back for You,3:46,/lyric/31053527/Maroon+5/Coming+Back+for+You,http://www.lyrics.com/lyric/31053527/Maroon+5/Coming+Back+for+You
95,V [Deluxe Version] [2014],Maroon 5,Feelings,3:14,/lyric/31053526/Maroon+5/Feelings,http://www.lyrics.com/lyric/31053526/Maroon+5/Feelings
96,V [Deluxe Version] [2014],Maroon 5,In Your Pocket,3:39,/lyric/31053529/Maroon+5/In+Your+Pocket,http://www.lyrics.com/lyric/31053529/Maroon+5/In+Your+Pocket
97,V [Deluxe Version] [2014],Maroon 5,It Was Always You,3:59,/lyric/31053533/Maroon+5/It+Was+Always+You,http://www.lyrics.com/lyric/31053533/Maroon+5/It+Was+Always+You
98,V [Deluxe Version] [2014],Maroon 5,Leaving California,3:23,/lyric/31053530/Maroon+5/Leaving+California,http://www.lyrics.com/lyric/31053530/Maroon+5/Leaving+California
99,V [Deluxe Version] [2014],Maroon 5,Lost Stars [*],4:26,/lyric/31053522/Maroon+5/Lost+Stars+%5B%2A%5D,http://www.lyrics.com/lyric/31053522/Maroon+5/Lost+Stars+%5B%2A%5D
100,V [Deluxe Version] [2014],Maroon 5,My Heart Is Openw/ Gwen Stefani,3:57,/lyric/31053525/Gwen+Stefani/My+Heart+Is+Open,http://www.lyrics.com/lyric/31053525/Gwen+Stefani/My+Heart+Is+Open
101,V [Deluxe Version] [2014],Maroon 5,New Love,3:16,/lyric/31053528/Maroon+5/New+Love,http://www.lyrics.com/lyric/31053528/Maroon+5/New+Love
102,V [Deluxe Version] [2014],Maroon 5,Sex and Candy [*],4:25,/lyric/31053523/Maroon+5/Sex+and+Candy+%5B%2A%5D,http://www.lyrics.com/lyric/31053523/Maroon+5/Sex+and+Candy+%5B%2A%5D
103,V [Deluxe Version] [2014],Maroon 5,Shoot Love [*],3:10,/lyric/31053524/Maroon+5/Shoot+Love+%5B%2A%5D,http://www.lyrics.com/lyric/31053524/Maroon+5/Shoot+Love+%5B%2A%5D
104,V [Deluxe Version] [2014],Maroon 5,Sugar,3:55,/lyric/31053531/Maroon+5/Sugar,http://www.lyrics.com/lyric/31053531/Maroon+5/Sugar
105,V [Deluxe Version] [2014],Maroon 5,Unkiss Me,3:58,/lyric/31053532/Maroon+5/Unkiss+Me,http://www.lyrics.com/lyric/31053532/Maroon+5/Unkiss+Me
106,Sugar [2015],Maroon 5,Sugar [Remix]w/ Nicki Minaj,3:55,/lyric/31764271/Maroon+5/Sugar+%5BRemix%5D,http://www.lyrics.com/lyric/31764271/Maroon+5/Sugar+%5BRemix%5D
107,Don't Wanna Know [2016],Maroon 5,Don't Wanna Knoww/ Kendrick Lamar,3:34,/lyric/33390270/Maroon+5/Don%27t+Wanna+Know,http://www.lyrics.com/lyric/33390270/Maroon+5/Don%27t+Wanna+Know
