,Album_Name,Artist_Name,Song_Title,Duration,URI,Full_URL
105,Viva la Vida or Death and All His Friends [2008],Coldplay,Lovers in Japan/Reign of Love,6:51,/lyric/14286517/Coldplay/Lovers+in+Japan%2FReign+of+Love,http://www.lyrics.com/lyric/14286517/Coldplay/Lovers+in+Japan%2FReign+of+Love
106,Viva la Vida or Death and All His Friends [2008],Coldplay,Strawberry Swing,4:09,/lyric/14286521/Coldplay/Strawberry+Swing,http://www.lyrics.com/lyric/14286521/Coldplay/Strawberry+Swing
107,Viva la Vida or Death and All His Friends [2008],Coldplay,Violet Hill,3:42,/lyric/14286520/Coldplay/Violet+Hill,http://www.lyrics.com/lyric/14286520/Coldplay/Violet+Hill
108,Viva la Vida or Death and All His Friends [2008],Coldplay,Viva la Vida,4:01,/lyric/14286519/Coldplay/Viva+la+Vida,http://www.lyrics.com/lyric/14286519/Coldplay/Viva+la+Vida
109,Viva la Vida or Death and All His Friends [2008],Coldplay,Yes,7:06,/lyric/14286518/Coldplay/Yes,http://www.lyrics.com/lyric/14286518/Coldplay/Yes
110,Viva la Vida or Death and All His Friends [2008],Coldplay,Life in Technicolor, ,/lyric/25089826/Coldplay/Life+in+Technicolor,http://www.lyrics.com/lyric/25089826/Coldplay/Life+in+Technicolor
111,Every Teardrop Is a Waterfall [2011],Coldplay,Major Minus,3:32,/lyric/23977988/Coldplay/Major+Minus,http://www.lyrics.com/lyric/23977988/Coldplay/Major+Minus
112,Every Teardrop Is a Waterfall [2011],Coldplay,Moving to Mars,4:18,/lyric/24041542/Coldplay/Moving+to+Mars,http://www.lyrics.com/lyric/24041542/Coldplay/Moving+to+Mars
113,Mylo Xyloto [2011],Coldplay,Charlie Brown,4:45,/lyric/24536583/Coldplay/Charlie+Brown,http://www.lyrics.com/lyric/24536583/Coldplay/Charlie+Brown
114,Mylo Xyloto [2011],Coldplay,Don't Let It Break Your Heart,3:53,/lyric/24536574/Coldplay/Don%27t+Let+It+Break+Your+Heart,http://www.lyrics.com/lyric/24536574/Coldplay/Don%27t+Let+It+Break+Your+Heart
115,Mylo Xyloto [2011],Coldplay,Every Teardrop Is a Waterfall,4:00,/lyric/24536580/Coldplay/Every+Teardrop+Is+a+Waterfall,http://www.lyrics.com/lyric/24536580/Coldplay/Every+Teardrop+Is+a+Waterfall
116,Mylo Xyloto [2011],Coldplay,Hurts Like Heaven,4:02,/lyric/24536585/Coldplay/Hurts+Like+Heaven,http://www.lyrics.com/lyric/24536585/Coldplay/Hurts+Like+Heaven
117,Mylo Xyloto [2011],Coldplay,Paradise,4:37,/lyric/24536584/Coldplay/Paradise,http://www.lyrics.com/lyric/24536584/Coldplay/Paradise
118,Mylo Xyloto [2011],Coldplay,Princess of China,3:59,/lyric/24536577/Coldplay/Princess+of+China,http://www.lyrics.com/lyric/24536577/Coldplay/Princess+of+China
119,Mylo Xyloto [2011],Coldplay,U.F.O.,2:17,/lyric/24536578/Coldplay/U.F.O.,http://www.lyrics.com/lyric/24536578/Coldplay/U.F.O.
120,Mylo Xyloto [2011],Coldplay,Up in Flames,3:13,/lyric/24536576/Coldplay/Up+in+Flames,http://www.lyrics.com/lyric/24536576/Coldplay/Up+in+Flames
121,Mylo Xyloto [2011],Coldplay,Up With the Birds,3:47,/lyric/24536573/Coldplay/Up+With+the+Birds,http://www.lyrics.com/lyric/24536573/Coldplay/Up+With+the+Birds
122,Mylo Xyloto [2011],Coldplay,Us Against the World,3:59,/lyric/24536582/Coldplay/Us+Against+the+World,http://www.lyrics.com/lyric/24536582/Coldplay/Us+Against+the+World
